Year,Qtr,Area Type,State,Area,Ownership,Industry,Annual Average Status Code,Annual Average Establishment Count,Annual Average Employment,Annual Total Wages,Annual Average Weekly Wage,Annual Average Pay,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2017,A,County,Illinois,"Coles County, Illinois",Total Covered,"10 Total, all industries",,"1,076","24,256","920,078,931",729,"37,933",1.00,1.00
2017,A,County,Illinois,"Cook County, Illinois",Total Covered,"10 Total, all industries",,"137,105","2,572,191","166,603,254,234","1,246","64,771",1.00,1.00
2017,A,County,Illinois,"Crawford County, Illinois",Total Covered,"10 Total, all industries",,411,"7,115","342,710,446",926,"48,171",1.00,1.00
2017,A,County,Illinois,"Cumberland County, Illinois",Total Covered,"10 Total, all industries",,202,"2,783","89,847,190",621,"32,284",1.00,1.00
2017,A,County,Illinois,"DeKalb County, Illinois",Total Covered,"10 Total, all industries",,"2,030","37,638","1,573,404,498",804,"41,804",1.00,1.00
2017,A,County,Illinois,"DeWitt County, Illinois",Total Covered,"10 Total, all industries",,392,"5,172","262,806,727",977,"50,812",1.00,1.00
2017,A,County,Illinois,"Douglas County, Illinois",Total Covered,"10 Total, all industries",,587,"7,496","284,069,163",729,"37,898",1.00,1.00
2017,A,County,Illinois,"DuPage County, Illinois",Total Covered,"10 Total, all industries",,"34,274","620,473","38,880,009,788","1,205","62,662",1.00,1.00
2017,A,County,Illinois,"Edgar County, Illinois",Total Covered,"10 Total, all industries",,372,"7,212","289,667,572",772,"40,166",1.00,1.00
2017,A,County,Illinois,"Edwards County, Illinois",Total Covered,"10 Total, all industries",,156,"2,335","89,324,401",736,"38,252",1.00,1.00
2017,A,County,Illinois,"Effingham County, Illinois",Total Covered,"10 Total, all industries",,"1,184","21,690","837,128,054",742,"38,596",1.00,1.00
2017,A,County,Illinois,"Fayette County, Illinois",Total Covered,"10 Total, all industries",,475,"5,282","175,186,101",638,"33,167",1.00,1.00
2017,A,County,Illinois,"Ford County, Illinois",Total Covered,"10 Total, all industries",,353,"4,505","180,038,764",769,"39,968",1.00,1.00
2017,A,County,Illinois,"Franklin County, Illinois",Total Covered,"10 Total, all industries",,735,"8,383","281,242,261",645,"33,550",1.00,1.00
2017,A,County,Illinois,"Fulton County, Illinois",Total Covered,"10 Total, all industries",,671,"8,346","279,682,929",644,"33,511",1.00,1.00
2017,A,County,Illinois,"Gallatin County, Illinois",Total Covered,"10 Total, all industries",,134,"1,245","58,637,165",906,"47,104",1.00,1.00
2017,A,County,Illinois,"Greene County, Illinois",Total Covered,"10 Total, all industries",,235,"2,316","70,771,814",588,"30,553",1.00,1.00
2017,A,County,Illinois,"Grundy County, Illinois",Total Covered,"10 Total, all industries",,"1,164","19,200","1,063,865,888","1,066","55,409",1.00,1.00
2017,A,County,Illinois,"Hamilton County, Illinois",Total Covered,"10 Total, all industries",,210,"2,051","88,761,589",832,"43,283",1.00,1.00
2017,A,County,Illinois,"Hancock County, Illinois",Total Covered,"10 Total, all industries",,406,"4,014","135,956,253",651,"33,871",1.00,1.00
2017,A,County,Illinois,"Hardin County, Illinois",Total Covered,"10 Total, all industries",,62,675,"20,603,447",587,"30,520",1.00,1.00
2017,A,County,Illinois,"Henderson County, Illinois",Total Covered,"10 Total, all industries",,135,"1,072","30,214,015",542,"28,178",1.00,1.00
2017,A,County,Illinois,"Henry County, Illinois",Total Covered,"10 Total, all industries",,"1,034","13,760","512,308,360",716,"37,231",1.00,1.00
2017,A,County,Illinois,"Iroquois County, Illinois",Total Covered,"10 Total, all industries",,750,"7,958","258,655,138",625,"32,501",1.00,1.00
2017,A,County,Illinois,"Jackson County, Illinois",Total Covered,"10 Total, all industries",,"1,205","24,464","1,035,075,832",814,"42,311",1.00,1.00
2017,A,County,Illinois,"Jasper County, Illinois",Total Covered,"10 Total, all industries",,235,"1,922","73,191,116",733,"38,091",1.00,1.00
2017,A,County,Illinois,"Jefferson County, Illinois",Total Covered,"10 Total, all industries",,884,"19,817","828,614,909",804,"41,814",1.00,1.00
2017,A,County,Illinois,"Jersey County, Illinois",Total Covered,"10 Total, all industries",,400,"4,959","163,311,248",633,"32,935",1.00,1.00
2017,A,County,Illinois,"Jo Daviess County, Illinois",Total Covered,"10 Total, all industries",,732,"7,421","254,439,906",659,"34,288",1.00,1.00
2017,A,County,Illinois,"Johnson County, Illinois",Total Covered,"10 Total, all industries",,178,"2,302","100,621,158",840,"43,702",1.00,1.00
2017,A,County,Illinois,"Kane County, Illinois",Total Covered,"10 Total, all industries",,"12,433","209,820","10,194,928,654",934,"48,589",1.00,1.00
2017,A,County,Illinois,"Kankakee County, Illinois",Total Covered,"10 Total, all industries",,"2,265","44,961","1,845,840,403",790,"41,054",1.00,1.00
2017,A,County,Illinois,"Kendall County, Illinois",Total Covered,"10 Total, all industries",,"2,094","28,503","1,111,732,269",750,"39,004",1.00,1.00
2017,A,County,Illinois,"Knox County, Illinois",Total Covered,"10 Total, all industries",,"1,027","18,120","619,520,314",658,"34,191",1.00,1.00
2017,A,County,Illinois,"Lake County, Illinois",Total Covered,"10 Total, all industries",,"20,020","335,598","24,316,262,054","1,393","72,456",1.00,1.00
2017,A,County,Illinois,"LaSalle County, Illinois",Total Covered,"10 Total, all industries",,"2,542","42,841","1,891,025,198",849,"44,141",1.00,1.00
2017,A,County,Illinois,"Lawrence County, Illinois",Total Covered,"10 Total, all industries",,262,"4,600","184,610,485",772,"40,137",1.00,1.00
2017,A,County,Illinois,"Lee County, Illinois",Total Covered,"10 Total, all industries",,691,"13,153","578,990,512",847,"44,020",1.00,1.00
2017,A,County,Illinois,"Livingston County, Illinois",Total Covered,"10 Total, all industries",,874,"13,720","597,893,643",838,"43,577",1.00,1.00
2017,A,County,Illinois,"Logan County, Illinois",Total Covered,"10 Total, all industries",,581,"9,182","372,793,976",781,"40,599",1.00,1.00
2017,A,County,Illinois,"McDonough County, Illinois",Total Covered,"10 Total, all industries",,607,"10,908","421,451,740",743,"38,638",1.00,1.00
2017,A,County,Illinois,"McHenry County, Illinois",Total Covered,"10 Total, all industries",,"7,750","97,742","4,357,255,125",857,"44,579",1.00,1.00
2017,A,County,Illinois,"McLean County, Illinois",Total Covered,"10 Total, all industries",,"3,375","83,436","4,272,195,256",985,"51,203",1.00,1.00
2017,A,County,Illinois,"Macon County, Illinois",Total Covered,"10 Total, all industries",,"2,188","49,320","2,449,541,175",955,"49,666",1.00,1.00
2017,A,County,Illinois,"Macoupin County, Illinois",Total Covered,"10 Total, all industries",,893,"10,347","359,774,289",669,"34,770",1.00,1.00
2017,A,County,Illinois,"Madison County, Illinois",Total Covered,"10 Total, all industries",,"5,402","98,819","4,179,070,183",813,"42,290",1.00,1.00
2017,A,County,Illinois,"Marion County, Illinois",Total Covered,"10 Total, all industries",,840,"12,828","476,563,338",714,"37,149",1.00,1.00
2017,A,County,Illinois,"Marshall County, Illinois",Total Covered,"10 Total, all industries",,262,"2,926","105,470,239",693,"36,052",1.00,1.00
2017,A,County,Illinois,"Mason County, Illinois",Total Covered,"10 Total, all industries",,316,"3,121","104,467,295",644,"33,471",1.00,1.00
2017,A,County,Illinois,"Massac County, Illinois",Total Covered,"10 Total, all industries",,208,"3,022","129,427,452",824,"42,834",1.00,1.00
2017,A,County,Illinois,"Menard County, Illinois",Total Covered,"10 Total, all industries",,221,"1,736","54,567,088",604,"31,427",1.00,1.00
2017,A,County,Illinois,"Mercer County, Illinois",Total Covered,"10 Total, all industries",,295,"3,069","99,498,559",623,"32,417",1.00,1.00
2017,A,County,Illinois,"Monroe County, Illinois",Total Covered,"10 Total, all industries",,758,"8,692","306,266,180",678,"35,236",1.00,1.00
2017,A,County,Illinois,"Montgomery County, Illinois",Total Covered,"10 Total, all industries",,699,"8,865","331,237,776",719,"37,363",1.00,1.00
2017,A,County,Illinois,"Morgan County, Illinois",Total Covered,"10 Total, all industries",,763,"14,008","563,267,834",773,"40,210",1.00,1.00
2017,A,County,Illinois,"Moultrie County, Illinois",Total Covered,"10 Total, all industries",,336,"4,891","189,760,061",746,"38,794",1.00,1.00
2017,A,County,Illinois,"Ogle County, Illinois",Total Covered,"10 Total, all industries",,"1,029","15,900","721,643,252",873,"45,387",1.00,1.00
2017,A,County,Illinois,"Peoria County, Illinois",Total Covered,"10 Total, all industries",,"4,216","103,264","5,613,882,715","1,045","54,364",1.00,1.00
2017,A,County,Illinois,"Perry County, Illinois",Total Covered,"10 Total, all industries",,354,"4,657","174,711,452",721,"37,515",1.00,1.00
2017,A,County,Illinois,"Piatt County, Illinois",Total Covered,"10 Total, all industries",,364,"3,531","119,397,419",650,"33,812",1.00,1.00
2017,A,County,Illinois,"Pike County, Illinois",Total Covered,"10 Total, all industries",,421,"3,961","139,613,750",678,"35,246",1.00,1.00
2017,A,County,Illinois,"Pope County, Illinois",Total Covered,"10 Total, all industries",,55,602,"18,009,768",575,"29,921",1.00,1.00
2017,A,County,Illinois,"Pulaski County, Illinois",Total Covered,"10 Total, all industries",,106,"1,850","93,924,298",976,"50,763",1.00,1.00
2017,A,County,Illinois,"Putnam County, Illinois",Total Covered,"10 Total, all industries",,157,"1,847","81,400,459",847,"44,064",1.00,1.00
2017,A,County,Illinois,"Randolph County, Illinois",Total Covered,"10 Total, all industries",,624,"12,274","488,538,991",765,"39,803",1.00,1.00
2017,A,County,Illinois,"Richland County, Illinois",Total Covered,"10 Total, all industries",,419,"6,070","214,568,987",680,"35,349",1.00,1.00
2017,A,County,Illinois,"Rock Island County, Illinois",Total Covered,"10 Total, all industries",,"2,973","73,871","4,147,661,330","1,080","56,148",1.00,1.00
2017,A,County,Illinois,"St. Clair County, Illinois",Total Covered,"10 Total, all industries",,"5,034","93,862","3,995,902,743",819,"42,572",1.00,1.00
2017,A,County,Illinois,"Saline County, Illinois",Total Covered,"10 Total, all industries",,524,"7,713","282,241,092",704,"36,593",1.00,1.00
2017,A,County,Illinois,"Sangamon County, Illinois",Total Covered,"10 Total, all industries",,"4,742","129,179","6,874,228,838","1,023","53,215",1.00,1.00
2017,A,County,Illinois,"Schuyler County, Illinois",Total Covered,"10 Total, all industries",,150,"1,556","59,648,208",737,"38,347",1.00,1.00
2017,A,County,Illinois,"Scott County, Illinois",Total Covered,"10 Total, all industries",,90,"1,029","36,047,439",674,"35,037",1.00,1.00
2017,A,County,Illinois,"Shelby County, Illinois",Total Covered,"10 Total, all industries",,444,"4,872","154,771,203",611,"31,769",1.00,1.00
2017,A,County,Illinois,"Stark County, Illinois",Total Covered,"10 Total, all industries",,133,"1,341","49,897,920",716,"37,216",1.00,1.00
2017,A,County,Illinois,"Stephenson County, Illinois",Total Covered,"10 Total, all industries",,"1,047","17,336","743,439,090",825,"42,885",1.00,1.00
2017,A,County,Illinois,"Tazewell County, Illinois",Total Covered,"10 Total, all industries",,"2,629","50,089","2,481,016,463",953,"49,532",1.00,1.00
2017,A,County,Illinois,"Union County, Illinois",Total Covered,"10 Total, all industries",,338,"4,904","165,947,770",651,"33,843",1.00,1.00
2017,A,County,Illinois,"Vermilion County, Illinois",Total Covered,"10 Total, all industries",,"1,377","26,918","1,123,622,469",803,"41,742",1.00,1.00
2017,A,County,Illinois,"Wabash County, Illinois",Total Covered,"10 Total, all industries",,283,"3,202","113,756,450",683,"35,523",1.00,1.00
2017,A,County,Illinois,"Warren County, Illinois",Total Covered,"10 Total, all industries",,377,"6,435","225,314,006",673,"35,016",1.00,1.00
2017,A,County,Illinois,"Washington County, Illinois",Total Covered,"10 Total, all industries",,398,"6,257","294,913,986",906,"47,137",1.00,1.00
2017,A,County,Illinois,"Wayne County, Illinois",Total Covered,"10 Total, all industries",,391,"3,681","119,936,171",627,"32,584",1.00,1.00
2017,A,County,Illinois,"White County, Illinois",Total Covered,"10 Total, all industries",,364,"4,247","148,861,063",674,"35,053",1.00,1.00
2017,A,County,Illinois,"Whiteside County, Illinois",Total Covered,"10 Total, all industries",,"1,215","20,746","776,426,440",720,"37,425",1.00,1.00
2017,A,County,Illinois,"Will County, Illinois",Total Covered,"10 Total, all industries",,"14,476","239,989","11,257,942,996",902,"46,910",1.00,1.00
2017,A,County,Illinois,"Williamson County, Illinois",Total Covered,"10 Total, all industries",,"1,392","28,335","1,102,095,699",748,"38,895",1.00,1.00
2017,A,County,Illinois,"Winnebago County, Illinois",Total Covered,"10 Total, all industries",,"5,974","126,019","5,828,739,203",889,"46,253",1.00,1.00
2017,A,County,Illinois,"Woodford County, Illinois",Total Covered,"10 Total, all industries",,756,"10,138","406,592,455",771,"40,107",1.00,1.00
2017,A,County,Illinois,"Unknown Or Undefined, Illinois",Total Covered,"10 Total, all industries",,"43,002","132,990","11,371,879,511","1,644","85,509",1.00,1.00
2017,A,County,Indiana,"Adams County, Indiana",Total Covered,"10 Total, all industries",,702,"13,763","511,694,254",715,"37,178",1.00,1.00
2017,A,County,Indiana,"Allen County, Indiana",Total Covered,"10 Total, all industries",,"8,742","184,976","8,242,358,639",857,"44,559",1.00,1.00
2017,A,County,Indiana,"Bartholomew County, Indiana",Total Covered,"10 Total, all industries",,"1,904","50,560","2,619,395,004",996,"51,807",1.00,1.00
2017,A,County,Indiana,"Benton County, Indiana",Total Covered,"10 Total, all industries",,224,"2,354","87,811,731",717,"37,298",1.00,1.00
2017,A,County,Indiana,"Blackford County, Indiana",Total Covered,"10 Total, all industries",,236,"3,335","118,467,965",683,"35,521",1.00,1.00
2017,A,County,Indiana,"Boone County, Indiana",Total Covered,"10 Total, all industries",,"1,731","28,904","1,188,340,887",791,"41,114",1.00,1.00
2017,A,County,Indiana,"Brown County, Indiana",Total Covered,"10 Total, all industries",,314,"2,989","77,164,325",497,"25,820",1.00,1.00
2017,A,County,Indiana,"Carroll County, Indiana",Total Covered,"10 Total, all industries",,380,"5,217","190,058,419",701,"36,433",1.00,1.00
2017,A,County,Indiana,"Cass County, Indiana",Total Covered,"10 Total, all industries",,707,"14,544","538,565,385",712,"37,031",1.00,1.00
2017,A,County,Indiana,"Clark County, Indiana",Total Covered,"10 Total, all industries",,"2,492","53,833","2,141,968,471",765,"39,789",1.00,1.00
2017,A,County,Indiana,"Clay County, Indiana",Total Covered,"10 Total, all industries",,489,"7,638","265,126,927",668,"34,713",1.00,1.00
2017,A,County,Indiana,"Clinton County, Indiana",Total Covered,"10 Total, all industries",,579,"10,833","425,777,256",756,"39,305",1.00,1.00
2017,A,County,Indiana,"Crawford County, Indiana",Total Covered,"10 Total, all industries",,164,"1,935","59,513,106",591,"30,755",1.00,1.00
2017,A,County,Indiana,"Daviess County, Indiana",Total Covered,"10 Total, all industries",,900,"11,518","409,469,284",684,"35,550",1.00,1.00
2017,A,County,Indiana,"Dearborn County, Indiana",Total Covered,"10 Total, all industries",,965,"13,954","511,252,490",705,"36,638",1.00,1.00
2017,A,County,Indiana,"Decatur County, Indiana",Total Covered,"10 Total, all industries",,655,"13,940","625,109,660",862,"44,842",1.00,1.00
2017,A,County,Indiana,"DeKalb County, Indiana",Total Covered,"10 Total, all industries",,965,"21,796","1,008,008,870",889,"46,248",1.00,1.00
2017,A,County,Indiana,"Delaware County, Indiana",Total Covered,"10 Total, all industries",,"2,182","45,530","1,766,950,524",746,"38,809",1.00,1.00
2017,A,County,Indiana,"Dubois County, Indiana",Total Covered,"10 Total, all industries",,"1,283","28,977","1,206,834,562",801,"41,648",1.00,1.00
2017,A,County,Indiana,"Elkhart County, Indiana",Total Covered,"10 Total, all industries",,"4,682","133,688","6,584,983,400",947,"49,257",1.00,1.00
2017,A,County,Indiana,"Fayette County, Indiana",Total Covered,"10 Total, all industries",,437,"6,319","222,516,624",677,"35,217",1.00,1.00
2017,A,County,Indiana,"Floyd County, Indiana",Total Covered,"10 Total, all industries",,"1,816","30,190","1,230,890,026",784,"40,771",1.00,1.00
2017,A,County,Indiana,"Fountain County, Indiana",Total Covered,"10 Total, all industries",,328,"4,587","157,949,412",662,"34,432",1.00,1.00
2017,A,County,Indiana,"Franklin County, Indiana",Total Covered,"10 Total, all industries",,358,"4,261","143,023,280",646,"33,568",1.00,1.00
2017,A,County,Indiana,"Fulton County, Indiana",Total Covered,"10 Total, all industries",,470,"6,201","229,548,930",712,"37,020",1.00,1.00
2017,A,County,Indiana,"Gibson County, Indiana",Total Covered,"10 Total, all industries",,743,"20,323","1,041,809,851",986,"51,262",1.00,1.00
2017,A,County,Indiana,"Grant County, Indiana",Total Covered,"10 Total, all industries",,"1,224","27,218","1,034,517,772",731,"38,009",1.00,1.00
2017,A,County,Indiana,"Greene County, Indiana",Total Covered,"10 Total, all industries",,576,"6,316","214,586,048",653,"33,973",1.00,1.00
2017,A,County,Indiana,"Hamilton County, Indiana",Total Covered,"10 Total, all industries",,"9,274","140,022","7,382,940,532","1,014","52,727",1.00,1.00
2017,A,County,Indiana,"Hancock County, Indiana",Total Covered,"10 Total, all industries",,"1,534","23,116","1,024,228,534",852,"44,309",1.00,1.00
2017,A,County,Indiana,"Harrison County, Indiana",Total Covered,"10 Total, all industries",,675,"10,356","369,964,682",687,"35,726",1.00,1.00
2017,A,County,Indiana,"Hendricks County, Indiana",Total Covered,"10 Total, all industries",,"3,204","68,768","2,581,649,294",722,"37,542",1.00,1.00
2017,A,County,Indiana,"Henry County, Indiana",Total Covered,"10 Total, all industries",,808,"13,430","467,566,536",670,"34,816",1.00,1.00
2017,A,County,Indiana,"Howard County, Indiana",Total Covered,"10 Total, all industries",,"1,683","39,872","1,889,219,349",911,"47,382",1.00,1.00
2017,A,County,Indiana,"Huntington County, Indiana",Total Covered,"10 Total, all industries",,879,"13,841","519,028,026",721,"37,500",1.00,1.00
2017,A,County,Indiana,"Jackson County, Indiana",Total Covered,"10 Total, all industries",,969,"21,291","925,304,267",836,"43,459",1.00,1.00
2017,A,County,Indiana,"Jasper County, Indiana",Total Covered,"10 Total, all industries",,807,"12,055","483,612,176",772,"40,118",1.00,1.00
2017,A,County,Indiana,"Jay County, Indiana",Total Covered,"10 Total, all industries",,404,"7,352","265,174,569",694,"36,068",1.00,1.00
2017,A,County,Indiana,"Jefferson County, Indiana",Total Covered,"10 Total, all industries",,652,"12,332","479,949,722",748,"38,919",1.00,1.00
2017,A,County,Indiana,"Jennings County, Indiana",Total Covered,"10 Total, all industries",,392,"7,218","274,133,894",730,"37,982",1.00,1.00
2017,A,County,Indiana,"Johnson County, Indiana",Total Covered,"10 Total, all industries",,"3,243","52,845","1,990,452,373",724,"37,666",1.00,1.00
2017,A,County,Indiana,"Knox County, Indiana",Total Covered,"10 Total, all industries",,941,"17,322","670,918,964",745,"38,733",1.00,1.00
2017,A,County,Indiana,"Kosciusko County, Indiana",Total Covered,"10 Total, all industries",,"1,941","37,939","1,822,486,032",924,"48,038",1.00,1.00
2017,A,County,Indiana,"Lagrange County, Indiana",Total Covered,"10 Total, all industries",,877,"14,028","613,561,929",841,"43,740",1.00,1.00
2017,A,County,Indiana,"Lake County, Indiana",Total Covered,"10 Total, all industries",,"10,268","187,601","8,687,879,770",891,"46,310",1.00,1.00
2017,A,County,Indiana,"LaPorte County, Indiana",Total Covered,"10 Total, all industries",,"2,303","40,258","1,577,547,881",754,"39,186",1.00,1.00
2017,A,County,Indiana,"Lawrence County, Indiana",Total Covered,"10 Total, all industries",,856,"13,460","502,794,304",718,"37,355",1.00,1.00
2017,A,County,Indiana,"Madison County, Indiana",Total Covered,"10 Total, all industries",,"2,169","39,562","1,493,711,721",726,"37,756",1.00,1.00
2017,A,County,Indiana,"Marion County, Indiana",Total Covered,"10 Total, all industries",,"23,777","594,093","33,166,538,977","1,074","55,827",1.00,1.00
2017,A,County,Indiana,"Marshall County, Indiana",Total Covered,"10 Total, all industries",,"1,024","19,002","716,168,886",725,"37,688",1.00,1.00
2017,A,County,Indiana,"Martin County, Indiana",Total Covered,"10 Total, all industries",,239,"7,187","498,402,858","1,334","69,344",1.00,1.00
2017,A,County,Indiana,"Miami County, Indiana",Total Covered,"10 Total, all industries",,600,"9,344","345,761,430",712,"37,005",1.00,1.00
2017,A,County,Indiana,"Monroe County, Indiana",Total Covered,"10 Total, all industries",,"3,001","62,687","2,749,912,703",844,"43,867",1.00,1.00
2017,A,County,Indiana,"Montgomery County, Indiana",Total Covered,"10 Total, all industries",,845,"15,263","651,703,210",821,"42,698",1.00,1.00
2017,A,County,Indiana,"Morgan County, Indiana",Total Covered,"10 Total, all industries",,"1,232","16,200","617,628,407",733,"38,126",1.00,1.00
2017,A,County,Indiana,"Newton County, Indiana",Total Covered,"10 Total, all industries",,263,"3,253","121,700,504",720,"37,417",1.00,1.00
2017,A,County,Indiana,"Noble County, Indiana",Total Covered,"10 Total, all industries",,857,"18,106","701,602,200",745,"38,751",1.00,1.00
2017,A,County,Indiana,"Ohio County, Indiana",Total Covered,"10 Total, all industries",,86,"1,383","41,407,939",576,"29,951",1.00,1.00
2017,A,County,Indiana,"Orange County, Indiana",Total Covered,"10 Total, all industries",,366,"7,610","255,217,199",645,"33,538",1.00,1.00
2017,A,County,Indiana,"Owen County, Indiana",Total Covered,"10 Total, all industries",,301,"4,589","191,558,474",803,"41,742",1.00,1.00
2017,A,County,Indiana,"Parke County, Indiana",Total Covered,"10 Total, all industries",,304,"3,255","103,041,392",609,"31,654",1.00,1.00
2017,A,County,Indiana,"Perry County, Indiana",Total Covered,"10 Total, all industries",,371,"6,456","261,675,707",780,"40,535",1.00,1.00
2017,A,County,Indiana,"Pike County, Indiana",Total Covered,"10 Total, all industries",,192,"3,194","167,536,542","1,009","52,452",1.00,1.00
2017,A,County,Indiana,"Porter County, Indiana",Total Covered,"10 Total, all industries",,"3,639","59,111","2,609,105,910",849,"44,139",1.00,1.00
2017,A,County,Indiana,"Posey County, Indiana",Total Covered,"10 Total, all industries",,502,"8,317","457,154,487","1,057","54,964",1.00,1.00
2017,A,County,Indiana,"Pulaski County, Indiana",Total Covered,"10 Total, all industries",,344,"4,626","188,099,521",782,"40,661",1.00,1.00
2017,A,County,Indiana,"Putnam County, Indiana",Total Covered,"10 Total, all industries",,692,"13,640","495,237,986",698,"36,307",1.00,1.00
2017,A,County,Indiana,"Randolph County, Indiana",Total Covered,"10 Total, all industries",,497,"6,634","231,922,757",672,"34,959",1.00,1.00
2017,A,County,Indiana,"Ripley County, Indiana",Total Covered,"10 Total, all industries",,724,"12,364","535,320,557",833,"43,297",1.00,1.00
2017,A,County,Indiana,"Rush County, Indiana",Total Covered,"10 Total, all industries",,399,"4,926","186,047,633",726,"37,768",1.00,1.00
2017,A,County,Indiana,"St. Joseph County, Indiana",Total Covered,"10 Total, all industries",,"5,719","122,566","5,355,681,549",840,"43,696",1.00,1.00
2017,A,County,Indiana,"Scott County, Indiana",Total Covered,"10 Total, all industries",,404,"8,259","288,626,168",672,"34,949",1.00,1.00
2017,A,County,Indiana,"Shelby County, Indiana",Total Covered,"10 Total, all industries",,928,"18,313","771,691,974",810,"42,139",1.00,1.00
2017,A,County,Indiana,"Spencer County, Indiana",Total Covered,"10 Total, all industries",,451,"6,844","260,652,735",732,"38,084",1.00,1.00
2017,A,County,Indiana,"Starke County, Indiana",Total Covered,"10 Total, all industries",,328,"4,539","132,594,436",562,"29,215",1.00,1.00
2017,A,County,Indiana,"Steuben County, Indiana",Total Covered,"10 Total, all industries",,956,"15,644","555,712,775",683,"35,522",1.00,1.00
2017,A,County,Indiana,"Sullivan County, Indiana",Total Covered,"10 Total, all industries",,383,"5,628","219,883,103",751,"39,067",1.00,1.00
2017,A,County,Indiana,"Switzerland County, Indiana",Total Covered,"10 Total, all industries",,138,"2,134","69,382,134",625,"32,514",1.00,1.00
2017,A,County,Indiana,"Tippecanoe County, Indiana",Total Covered,"10 Total, all industries",,"3,411","83,386","3,886,465,910",896,"46,608",1.00,1.00
2017,A,County,Indiana,"Tipton County, Indiana",Total Covered,"10 Total, all industries",,307,"4,453","184,231,079",796,"41,369",1.00,1.00
2017,A,County,Indiana,"Union County, Indiana",Total Covered,"10 Total, all industries",,139,"1,288","41,368,822",618,"32,110",1.00,1.00
2017,A,County,Indiana,"Vanderburgh County, Indiana",Total Covered,"10 Total, all industries",,"4,706","108,249","4,807,587,127",854,"44,413",1.00,1.00
2017,A,County,Indiana,"Vermillion County, Indiana",Total Covered,"10 Total, all industries",,306,"4,333","201,394,931",894,"46,477",1.00,1.00
2017,A,County,Indiana,"Vigo County, Indiana",Total Covered,"10 Total, all industries",,"2,395","48,684","1,932,046,312",763,"39,686",1.00,1.00
2017,A,County,Indiana,"Wabash County, Indiana",Total Covered,"10 Total, all industries",,737,"12,291","438,409,507",686,"35,670",1.00,1.00
2017,A,County,Indiana,"Warren County, Indiana",Total Covered,"10 Total, all industries",,140,"1,825","72,745,680",767,"39,872",1.00,1.00
2017,A,County,Indiana,"Warrick County, Indiana",Total Covered,"10 Total, all industries",,"1,155","15,964","712,797,100",859,"44,651",1.00,1.00
2017,A,County,Indiana,"Washington County, Indiana",Total Covered,"10 Total, all industries",,470,"6,168","205,171,164",640,"33,262",1.00,1.00
2017,A,County,Indiana,"Wayne County, Indiana",Total Covered,"10 Total, all industries",,"1,426","30,172","1,149,527,523",733,"38,100",1.00,1.00
2017,A,County,Indiana,"Wells County, Indiana",Total Covered,"10 Total, all industries",,616,"10,786","394,685,083",704,"36,593",1.00,1.00
2017,A,County,Indiana,"White County, Indiana",Total Covered,"10 Total, all industries",,642,"8,926","327,132,253",705,"36,649",1.00,1.00
2017,A,County,Indiana,"Whitley County, Indiana",Total Covered,"10 Total, all industries",,711,"12,343","511,369,586",797,"41,431",1.00,1.00
2017,A,County,Indiana,"Unknown Or Undefined, Indiana",Total Covered,"10 Total, all industries",,"17,887","75,782","4,726,414,691","1,199","62,369",1.00,1.00
2017,A,County,Iowa,"Adair County, Iowa",Total Covered,"10 Total, all industries",,290,"2,770","98,942,772",687,"35,718",1.00,1.00
2017,A,County,Iowa,"Adams County, Iowa",Total Covered,"10 Total, all industries",,152,"1,227","46,690,513",732,"38,066",1.00,1.00
2017,A,County,Iowa,"Allamakee County, Iowa",Total Covered,"10 Total, all industries",,469,"5,142","178,346,233",667,"34,684",1.00,1.00
2017,A,County,Iowa,"Appanoose County, Iowa",Total Covered,"10 Total, all industries",,371,"4,595","163,023,194",682,"35,480",1.00,1.00
2017,A,County,Iowa,"Audubon County, Iowa",Total Covered,"10 Total, all industries",,221,"1,771","65,138,873",707,"36,779",1.00,1.00
2017,A,County,Iowa,"Benton County, Iowa",Total Covered,"10 Total, all industries",,675,"5,908","225,805,089",735,"38,221",1.00,1.00
2017,A,County,Iowa,"Black Hawk County, Iowa",Total Covered,"10 Total, all industries",,"3,789","73,653","3,387,635,335",885,"45,995",1.00,1.00
2017,A,County,Iowa,"Boone County, Iowa",Total Covered,"10 Total, all industries",,710,"9,192","365,109,579",764,"39,720",1.00,1.00
2017,A,County,Iowa,"Bremer County, Iowa",Total Covered,"10 Total, all industries",,722,"9,883","403,135,800",784,"40,792",1.00,1.00
2017,A,County,Iowa,"Buchanan County, Iowa",Total Covered,"10 Total, all industries",,607,"6,518","242,657,073",716,"37,227",1.00,1.00
2017,A,County,Iowa,"Buena Vista County, Iowa",Total Covered,"10 Total, all industries",,657,"11,023","443,315,877",773,"40,218",1.00,1.00
2017,A,County,Iowa,"Butler County, Iowa",Total Covered,"10 Total, all industries",,421,"3,403","122,022,946",690,"35,862",1.00,1.00
2017,A,County,Iowa,"Calhoun County, Iowa",Total Covered,"10 Total, all industries",,328,"2,846","101,072,366",683,"35,517",1.00,1.00
2017,A,County,Iowa,"Carroll County, Iowa",Total Covered,"10 Total, all industries",,974,"11,545","441,733,602",736,"38,264",1.00,1.00
2017,A,County,Iowa,"Cass County, Iowa",Total Covered,"10 Total, all industries",,557,"6,036","224,481,015",715,"37,192",1.00,1.00
